toll_id,name,highway,state,latitude,longitude,fastag_lanes,opened_year,operator,avg_daily_vehicles
TP065,Sengurichi Toll Plaza,NH-45 (Chennai-Trichy),Tamil Nadu,11.6660_approx,79.0240_approx,10,2010,NHAI,38000
TP066,Thirumandurai Toll Plaza,NH-45 (Chennai-Trichy),Tamil Nadu,11.2840_approx,78.8810_approx,10,2010,NHAI,35000
TP067,Athur Toll Plaza,NH-45 (Tambaram-Tindivanam),Tamil Nadu,12.5200_approx,79.9700_approx,12,2008,NHAI,55000
TP068,Bogalur Toll Plaza,NH-87 (Madurai-Ramanathapuram),Tamil Nadu,9.5840_approx,78.5050_approx,8,2012,NHAI,18000
TP069,Boothakudi Toll Plaza,NH-45B (Trichy-Madurai),Tamil Nadu,10.3650_approx,78.6940_approx,8,2011,NHAI,22000
TP070,Kundli Toll Plaza,Eastern Peripheral Expressway,Haryana,28.9080_approx,77.0700_approx,14,2018,NHAI / Jaypee Group,42000
TP071,Palwal Toll Plaza,Eastern Peripheral Expressway,Haryana,28.1450_approx,77.3290_approx,14,2018,NHAI / Jaypee Group,40000
TP072,Manesar Toll Plaza,Western Peripheral Expressway,Haryana,28.3540_approx,76.9430_approx,12,2018,NHAI / Essel Infraprojects,35000
TP073,Bahadurgarh Toll Plaza,Western Peripheral Expressway,Haryana,28.6810_approx,76.9290_approx,10,2018,NHAI / Essel Infraprojects,32000
TP074,Ghoti Toll Plaza,NH-160 (Nashik-Mumbai),Maharashtra,19.7140_approx,73.6420_approx,10,2010,IRB Infrastructure,38000
TP075,Vadape Toll Plaza,NH-160 (Mumbai-Nashik),Maharashtra,19.4570_approx,73.0820_approx,10,2010,IRB Infrastructure,42000
TP076,Sukhpur Toll Plaza,NH-44,Madhya Pradesh,22.8460_approx,77.7820_approx,8,2011,NHAI,25000
TP077,Bhopal-Dewas Toll Plaza,NH-46,Madhya Pradesh,23.0890_approx,76.6680_approx,8,2012,NHAI,28000
TP078,Khanapur Toll Plaza,NH-44,Madhya Pradesh,21.6510_approx,77.7240_approx,8,2011,NHAI,22000
TP079,Bhilad Toll Plaza,NH-48,Gujarat,20.4640_approx,72.9090_approx,10,2008,NHAI / Larsen & Toubro,52000
TP080,Manor Toll Plaza,NH-48,Maharashtra,19.7240_approx,72.9220_approx,10,2009,IRB Infrastructure,48000
TP081,Vadodara Bypass Toll Plaza,NH-48,Gujarat,22.2580_approx,73.1810_approx,12,2008,NHAI / IRB,45000
TP082,Sanand Toll Plaza,NH-47,Gujarat,22.9890_approx,72.3850_approx,10,2013,NHAI,28000
TP083,Hirebagewadi Toll Plaza,NH-48,Karnataka,15.9700_approx,74.6260_approx,12,2010,NHAI,42000
TP084,Bankapur Toll Plaza,NH-48,Karnataka,14.9230_approx,75.2710_approx,10,2011,NHAI,32000
TP085,Chalageri Toll Plaza,NH-48,Karnataka,14.5210_approx,75.7780_approx,8,2012,NHAI,25000
TP086,Hebbalu Toll Plaza,NH-48,Karnataka,14.1280_approx,76.0050_approx,8,2012,NHAI,22000
TP087,Devanahalli Toll Plaza,NH-44 (Bengaluru Airport),Karnataka,13.2440_approx,77.7140_approx,10,2008,BIAL / NHAI,38000
TP088,Electronics City Elevated Toll,NH-44 (Bengaluru),Karnataka,12.8470_approx,77.6620_approx,10,2010,NHAI / Soma Isolux,68000
TP089,Attibele Toll Plaza,NH-44,Karnataka,12.7820_approx,77.7720_approx,10,2009,NHAI,55000
TP090,Walayar Toll Plaza,NH-544,Kerala,10.8090_approx,76.8470_approx,10,2011,NHAI,38000
TP091,Paliyekkara Toll Plaza,NH-544,Kerala,10.4730_approx,76.2310_approx,10,2012,NHAI / Guruvayoor Infrastructure,32000
TP092,Kumarakom Toll Plaza,NH-66 (Kerala),Kerala,9.6240_approx,76.4290_approx,8,2013,NHAI,22000
TP093,Sukhpura Toll Plaza,NH-21 (Chandigarh-Manali),Himachal Pradesh,31.4170_approx,76.7610_approx,8,2014,NHAI,18000
TP094,Pinjore Toll Plaza,NH-5,Himachal Pradesh,30.7920_approx,76.9170_approx,6,2013,NHAI,15000
TP095,Manauli Toll Plaza,NH-44,Punjab,30.6750_approx,76.6470_approx,10,2011,NHAI,35000
TP096,Bahalgarh Toll Plaza,NH-44,Haryana,28.9710_approx,77.0710_approx,12,2009,NHAI,55000
TP097,Sullurpet Toll Plaza,NH-16,Andhra Pradesh,13.7280_approx,80.0080_approx,10,2011,NHAI / GMR,32000
TP098,Tada Toll Plaza,NH-16,Andhra Pradesh,13.7560_approx,80.0050_approx,10,2010,NHAI / GMR,30000
TP099,Nellore Toll Plaza,NH-16,Andhra Pradesh,14.4420_approx,79.9870_approx,10,2010,NHAI / GMR,28000
TP100,Ankapalli Toll Plaza,NH-16,Andhra Pradesh,17.6900_approx,83.0040_approx,10,2011,NHAI,32000
